year,county,population,population_share_pct
2022,Carlow,61968,1.2
2022,Cavan,81704,1.6
2022,Clare,127938,2.5
2022,Cork,584156,11.3
2022,Donegal,167084,3.2
2022,Dublin,1458154,28.3
2022,Galway,277737,5.4
2022,Kerry,156458,3.0
2022,Kildare,247774,4.8
2022,Kilkenny,104160,2.0
2022,Laois,91877,1.8
2022,Leitrim,35199,0.7
2022,Limerick,209536,4.0
2022,Longford,46751,0.9
2022,Louth,139703,2.7
2022,Mayo,137970,2.7
2022,Meath,220826,4.3
2022,Monaghan,65288,1.3
2022,Offaly,83150,1.6
2022,Roscommon,70259,1.4
2022,Sligo,70198,1.4
2022,Tipperary,167895,3.3
2022,Waterford,127363,2.5
2022,Westmeath,96221,1.9
2022,Wexford,163919,3.2
2022,Wicklow,155851,3.0
