homelessness_region,profile_type,category,adults,total_adults,share_pct
Dublin,age,18-24,1535,8349,18.39
Dublin,age,25-44,4393,8349,52.62
Dublin,age,45-64,2275,8349,27.25
Dublin,age,65+,146,8349,1.75
Dublin,gender,Male,5042,8349,60.39
Dublin,gender,Female,3307,8349,39.61
Mid-East,age,18-24,115,636,18.08
Mid-East,age,25-44,300,636,47.17
Mid-East,age,45-64,189,636,29.72
Mid-East,age,65+,32,636,5.03
Mid-East,gender,Male,352,636,55.35
Mid-East,gender,Female,284,636,44.65
Mid-West,age,18-24,125,730,17.12
Mid-West,age,25-44,389,730,53.29
Mid-West,age,45-64,204,730,27.95
Mid-West,age,65+,12,730,1.64
Mid-West,gender,Male,369,730,50.55
Mid-West,gender,Female,361,730,49.45
Midlands,age,18-24,39,223,17.49
Midlands,age,25-44,111,223,49.78
Midlands,age,45-64,66,223,29.6
Midlands,age,65+,7,223,3.14
Midlands,gender,Male,119,223,53.36
Midlands,gender,Female,104,223,46.64
North-East,age,18-24,33,172,19.19
North-East,age,25-44,86,172,50.0
North-East,age,45-64,47,172,27.33
North-East,age,65+,6,172,3.49
North-East,gender,Male,112,172,65.12
North-East,gender,Female,60,172,34.88
North-West,age,18-24,21,161,13.04
North-West,age,25-44,73,161,45.34
North-West,age,45-64,60,161,37.27
North-West,age,65+,7,161,4.35
North-West,gender,Male,97,161,60.25
North-West,gender,Female,64,161,39.75
South-East,age,18-24,44,356,12.36
South-East,age,25-44,191,356,53.65
South-East,age,45-64,109,356,30.62
South-East,age,65+,12,356,3.37
South-East,gender,Male,213,356,59.83
South-East,gender,Female,143,356,40.17
South-West,age,18-24,121,897,13.49
South-West,age,25-44,499,897,55.63
South-West,age,45-64,253,897,28.21
South-West,age,65+,24,897,2.68
South-West,gender,Male,574,897,63.99
South-West,gender,Female,323,897,36.01
West,age,18-24,84,420,20.0
West,age,25-44,213,420,50.71
West,age,45-64,104,420,24.76
West,age,65+,19,420,4.52
West,gender,Male,229,420,54.52
West,gender,Female,191,420,45.48
